
"ID_REF"	"GSM310494"	"GSM310495"	"GSM310496"	"GSM310497"	"GSM310499"	"GSM310500"	"GSM310501"	"GSM310502"	"GSM310503"	"GSM310504"
93	-0.7	-1.0	-1.2	-2.9	0.0	-0.2		-1.7	-1.4	-2.4
94	-0.7	-0.3	-1.9	0.8	1.0	0.1	-0.5	-1.5	-0.8	-0.9
95	2.1	-1.2	1.3	-1.8	0.8	0.3	1.1	-2.2	0.7	-1.0
96	-1.1	-0.5	-1.7	-0.8	0.6	0.6	0.6	-1.7	-0.8	-2.4
97										
98										
99										
100										
101										
102										
103										
104										
105										
106	3.1	-1.4	5.8	-3.0	5.1	-6.1	-2.8	5.9	1.3	-2.9
107	-1.1	-2.0	0.9	-1.4	0.4	1.1	-1.6	-1.4	-1.7	-2.6
108	0.4	0.2	0.4	-1.8	0.1	2.9	0.5	-0.9	-0.7	-1.0
109										
110										
111	-3.0	-1.9	-0.7	-1.4	-1.7	1.9	-0.6	-1.6	-1.4	-2.0
112	-1.0	-3.1	0.6	-2.3	-3.2	5.7	1.6	-1.3		-1.1
113	-1.7	-2.3	-0.1	-1.8	-1.1	0.1		-1.1		-2.0
114	-0.5	-2.7	0.9	-1.6		-0.8	-1.8	-1.3		-3.3
115	-0.9	-2.5	-1.8	-1.3		-0.5	-2.1	-1.3	-2.1	-2.2
116										
117	-2.4	-2.6	-3.7	-2.1	-1.8		-1.0	-1.3	-1.4	-3.2
118	-1.5	-1.3	-1.8	-0.8	-1.1	0.5	-1.0	-2.1	-0.1	-1.9
119	-1.4	-2.2	-1.5	-2.7			-2.1	-1.5	-2.3	-2.3
120	0.2	-1.2	0.5	-2.1	0.7	-0.8	-0.6	-0.6	-0.3	-2.3
121	0.4	-0.4	1.0	-2.7	0.8	-0.4	-0.1	-0.7	-2.2	-2.6
122	0.0	-0.2	-0.2	-1.8	-0.4	-0.7	0.7	-0.3		-2.3
123	-1.2	-2.1	0.3	-1.4	-1.4	-0.3	-1.0	-0.9	-2.7	-2.5
124	0.0	-0.8	-0.2	-1.7	-0.4	0.8	0.4	-1.5	-2.1	-2.3
125	-1.0	-2.1	0.5	-1.7	-0.9	0.2	-0.3	-1.0		-2.7
126	-1.7	-1.5	0.9	-2.1	-2.2	0.6	-2.0	-0.9		-3.4
127	-0.7	-2.5	0.4	-2.1	-1.1	0.2	-1.0	-1.4	-2.5	-3.2
128	-2.8	-2.7	-1.6	-3.6		-1.8		-1.0		-4.3
129	-2.1	-2.0	-0.6	-3.1				-1.4		-3.5
130	-1.1	-2.7	-0.8	-1.9				-1.1	-2.3	-4.5
131	0.2	-0.8	-0.9	-1.5	0.6	-0.7	1.0	-1.8	-1.6	-2.2
132	-1.4	-2.6	-1.0	-2.6		-3.4	1.0	-1.4	-1.2	0.0
