
"ID_REF"	"GSM310494"	"GSM310495"	"GSM310496"	"GSM310497"	"GSM310499"	"GSM310500"	"GSM310501"	"GSM310502"	"GSM310503"	"GSM310504"
368	-1.0	-1.3	-3.8	-1.1	-1.0	-2.2		-1.4	-2.2	-2.6
369	0.4	-1.3	-0.3	-1.5	-0.2	-0.4	1.1	-1.6	-0.9	-2.1
370	-0.3	-0.6	-3.1	-1.2	-0.2	-0.4	-0.8	-1.6	-0.8	-2.9
371	-0.4	-1.7	-3.4	-0.8		-1.9		-1.7	-1.4	-3.0
372	-0.2	-1.7	-3.9	-1.4	1.5	-1.9	-0.3	-1.5	-1.2	-2.4
373	-0.5	-1.8	-0.7	-1.0	-0.1	0.9	-0.9	-2.0	-2.0	-2.2
374	-0.4	-2.3	-0.3	-0.7	0.1	0.9	-1.1	-2.5	-2.0	-2.7
375	0.1	-1.4	-3.2	-0.7	0.4	-0.3	-0.6	-1.9	-1.2	-2.5
376	-1.5	-2.6	-4.6	-1.8		-1.4		-1.3	-2.4	-2.4
377	-0.7	-2.3	-3.6	-1.1		-1.2			-2.3	
378	-0.8	-1.8	-4.7	-0.7		-1.7	-0.4	-2.5	-1.7	-2.7
379	-1.0	-2.2	-1.7	-1.3	-1.1	0.2	-0.8	-2.6	-2.1	-2.4
380	-0.3	-1.7	-2.0		-1.5	-3.9	-0.4	-1.8	-2.4	-2.0
381	-1.1	-1.8	-3.8	-0.9		-3.2	-1.4	-2.1	-2.5	-2.9
382	-0.9	-2.2	-5.2	-1.3	0.5	-0.2	0.2	-1.6	-0.9	-2.5
383	1.2	-0.6	-0.3	-1.0	2.5	0.6	1.0	-0.4	0.5	-0.3
384	-0.3	-1.9	-2.8	-0.9	1.1	-1.2	0.7	-1.3	-0.5	-0.3
385										
386										
387										
388										
389										
390										
391	0.1	-1.1	0.8	-2.2	0.1	2.1	0.0	-1.8	-2.4	-1.7
392	0.9	-0.4	0.1	-1.6	0.3	1.9	1.1	-1.0	-0.2	0.3
393	-1.3	-2.4	0.9	-2.5	-0.3	1.5	0.1	-2.0	-2.7	-1.9
394	-0.7	-2.3	0.8	-2.2	1.0	0.3	-0.6	-1.5	-1.6	-2.0
395	-1.4	-1.9	0.6	-2.3	0.8	1.0	-0.7	-1.6	-2.1	-3.0
396	4.0	-3.1	5.7	-3.2	8.9	-6.7	-1.8	3.0	-0.1	-3.9
397	-1.9	-2.2	-1.3	-2.5	-1.1	0.6		-2.3	-1.9	-3.5
398	-1.1	-2.2	0.7	-2.0	-1.0	4.3	-1.1	-1.6	-2.0	-1.7
399	-2.1	-2.0	-0.9	-2.4	1.0	0.8	-1.2	-2.0	0.1	-2.6
400	-1.2	-1.9	-0.6	-1.9	1.3	0.4	-0.5	-1.6	-2.4	-2.6
401	-2.6	-1.4	-0.7	-2.7	0.4	-0.5	-1.3	-1.1	-2.2	-3.2
402										
403	0.5	-2.2	-0.4	-0.9	3.1	0.3	0.6	-1.5	-1.2	-0.4
404	-0.1	-2.3	0.6	-2.4	0.0	2.0	-0.1	-2.0	-1.0	-2.2
405	1.0	-1.2	0.8	-1.3	2.2	3.7	0.7	-1.2	-0.4	-1.0
406	-1.4	-2.1	-0.3	-1.7	0.4	0.9	0.1	-1.5	-2.7	-2.0
407	0.2	-2.3	0.2	-2.4	0.8	1.9	0.5	-1.0	-1.3	-2.3
408	0.0	-1.6	-0.6	-2.0	1.9	0.1	0.8	-1.7	-0.4	-3.0
409	-2.1	-1.5	-1.2	-1.7	-1.1	2.1	-1.2	-1.3	-2.2	-2.2
410	-2.1	-2.8	-1.5	-2.3			-1.5	-1.7	-0.6	-3.8
411	-1.4	-1.9	-0.1	-1.2	0.2	1.6	-0.5	-1.9	-1.8	-1.8
412	-1.0	-1.9	-1.5	-0.6	0.9	-0.5	-0.3	-1.3	-1.8	-2.4
413	-0.4	-1.9	-1.5	-2.4	-0.3	0.1	-1.7	-1.5	-2.4	-3.6
414	0.7	-2.3	0.5	-2.3	1.5	-0.1	-1.6	-1.5	-2.1	-1.8
415	-0.4	-1.9	0.5	-1.8	-0.1	1.9	-0.1	-1.0	-1.7	-1.9
416	-1.7	-2.5	-0.6	-2.1	0.6	0.6	-2.2	-2.1	-2.4	-2.8
417	-1.1	-2.7	-0.2	-2.1	-0.6	-0.1	-2.2	-1.3	-3.7	-4.9
418	-1.3	-1.9	-0.8	-1.8	-0.5	2.5	-1.6	-1.9	-2.2	-2.6
419	-0.3	-1.9	-1.6	-2.6	0.3	-0.9	-2.5	-1.7	-2.5	-2.9
420	-0.2	-2.2	-0.7	-1.5	-0.9	-2.1	-1.9	-1.7	-2.2	-2.8
421	0.8	-0.5	0.1	-3.7	-0.5	0.4	-1.3	-2.3	-2.5	-3.3
422	-1.2	-2.3	-2.5	-2.2	0.3	0.4	-2.3	-2.0	-4.3	-3.0
423	0.8	-3.2	-0.5	-1.6	2.1	-0.6	0.7	-1.8	-1.1	-3.6
424	-1.8	-2.1	-1.1	-1.8		-0.4	-1.1	-1.5	-3.3	-4.0
425	-1.7	-1.9	-2.2	-4.0		-2.1	-1.1	-1.0	-3.7	-1.9
426	-1.8	-1.9	-0.3	-2.7	-0.3	1.0	-0.6	-1.4	-2.6	-3.3
427	-1.1	-2.6	-1.2	-2.5	-0.2	0.2	-2.0	-1.2		-3.3
428	0.5	-2.7	0.2	-2.4	1.1	0.1	-0.6	-1.1	-2.6	-2.6
429	-0.4	-2.8	-1.4	-1.8	-0.4	-1.6	-1.1	-1.3	-2.8	-4.0
430	-2.0	-1.7	-0.8	-2.7	-1.3	-0.4		-1.3	-3.8	-1.4
431	-0.8	-2.2	0.3	-1.6	1.3	0.7	-0.4	-1.3	-2.3	-1.5
432	-1.3	-1.9	-1.1	-1.8	-1.1	-1.8	-2.1	-1.4	-2.4	-3.0
433										
434										
435										
436										
437										
438										
439	1.1	-0.4	-0.2	-1.5	2.1	1.5	0.6	-0.6	-0.6	0.3
440	-0.5	-0.7	-1.0	-2.2	-1.1	3.0	0.5	-2.0	-2.3	-1.4
441	4.4	-2.3	4.9	-2.8	8.0	-7.1	-1.0	3.0	2.3	-4.0
442	0.9	0.1	0.2	-1.6	2.1	1.7	1.0	-0.2	-0.8	0.5
443	-1.0	-1.8	1.1	-2.8	0.4	0.7	-0.7	-1.9	-3.2	-3.2
444	3.9	-2.0	5.5	-2.7	0.5	-1.0	-0.8	-0.5	-1.2	-3.6
445	1.5	-2.0	1.2	-2.1	2.6	-0.4	0.0	-0.3	-0.6	-2.4
446	1.0	0.1	0.2	-0.9	0.5	1.8	1.3	-1.1	-1.7	-0.7
447										
448	-2.6	-3.0	-3.0							
449										
450	-3.0	-2.3	-3.4	-2.9		-1.4	-1.5	-1.5	-2.9	-4.5
451	-0.4	-1.5	0.3	-1.8	0.1	0.9	-0.3	-0.7	-2.1	-2.5
452	-0.7	-1.9	-0.3	-1.6	0.4	1.2	0.6	-1.5	-2.7	-2.3
453	-1.0	-2.0	0.4	-2.2	-0.5	0.6	-1.3	-1.9	-2.6	-2.5
454	-0.9	-2.0	0.3	-1.3	0.3	0.4	0.6	-1.0	-2.4	-2.3
455	-0.8	-1.9	-0.1	-1.4	1.2	0.1	0.8	-1.1	-1.7	-2.5
456	-1.1	-1.9	0.5	-2.1	-0.3	1.8	0.2	-1.2	-1.5	-2.2
457	-1.3	-1.5	-2.4	-1.6	-1.9	0.3	-0.3	-1.7	-2.2	-3.3
458	-1.3	-0.8	-4.5	-3.0		-1.5		-1.6	-2.1	-2.6
459	-1.3	-1.7	-4.1	-1.2	-0.2	2.0	-0.6	-1.4	-2.1	-1.4
460	0.0	-2.1	-4.1	-1.6	0.3	0.2	-0.6	-1.3	0.0	-2.6
461	-0.8	-1.3	-4.2	-1.2	-0.9	-0.9			-1.0	
462	-0.9	-2.0	-3.6	-0.8	0.1	0.5	1.6	-1.8	-0.3	-0.7
463	-2.6	-1.0	-1.8	-1.5	-0.5	1.0	1.2	-1.9	-0.9	-2.0
464	-1.7	-1.7	-3.7	-3.1	-1.8	-2.2		-1.8	-2.0	-2.5
465	-0.2	-1.4	-2.3	-2.3	-0.1	0.0	0.9	-1.4	-0.6	-2.1
466	-0.8	-0.3	-3.9	-1.7	-0.7	-0.7	-0.9	-2.2	-0.7	-2.9
467	-0.8	-0.5	-3.2	-1.0		-1.8			-0.9	
468	-0.3	-1.9	-2.1	-1.5	0.2	-1.0	-0.4	-1.9	-0.5	-2.1
469	-1.3	-1.7	-2.0	-1.6	-0.5	0.7	-0.8	-1.4	-1.0	-2.8
470	-1.4	-2.4	-2.6	-1.7	-0.6	0.6	-1.0	-1.9	-1.6	-3.8
471	-0.4	-1.5	-3.2	-1.7	0.5	-0.1	-1.1	-1.6	-1.0	-2.6
472	-1.5	-2.4	-3.2	-2.3		-1.7		-2.7	-1.8	-2.3
473	-1.4	-2.7	-2.3	-2.2		-0.2		-1.3	0.0	-3.0
474	-1.2	-1.7	-2.5	-1.2	-0.5	0.1	-1.2	-0.3	-0.8	-2.4
475	-1.6	-2.0		-2.0	-0.7	0.7		-1.8	-1.9	-2.9
476	-1.0	-1.6	-4.0	-2.7		-1.3	-1.3		-2.4	
477	-1.4	-1.7	-5.0	-1.9		-0.9		-0.5	-1.4	-3.3
478	-1.4	-2.5	-4.1	-2.1	0.3	-0.5	-0.1	-1.8	-0.6	-3.1
479	0.9	-0.8	0.4	-1.2	3.1	1.3	0.8	-0.2	0.9	-0.8
480	-0.8	-2.0	-4.2	-1.6	0.9	-0.3	0.9	-0.9	-0.6	-0.8
481										
482										
483										
484										
485										
486										
487	0.1	-1.2	1.3	-1.9	0.7	1.3	0.0	-1.4	-2.0	-1.8
488	1.0	-0.6	0.3	-1.6	2.4	2.0	0.8	-1.2	-0.1	0.4
489	-1.4	-2.3	0.6	-2.0	-0.1	1.9	-0.6	-1.6	-1.9	-1.3
490	-0.6	-2.4	0.9	-2.1	1.3	0.5	-0.6	-1.3	-1.3	-2.0
491	-1.3	-2.1	1.0	-1.6	1.5	1.3	-0.6	-1.4	-1.3	-2.9
492	4.9	-3.7	6.1	-3.5	7.9	-6.5	-1.7	5.8	2.2	-3.2
493	-2.3	-2.3	-1.1	-1.7	-1.7	1.3		-1.9	-2.2	-2.5
494	-1.5	-2.0	0.3	-1.9	-0.7	4.7	-0.8	-1.8	-2.8	-1.4
495	-2.0	-1.7	-0.6	-3.0	-0.2	-0.2	-1.8	-1.3	-2.3	-1.8
496	-1.4	-2.0	0.0	-1.4	0.4	0.2	-0.5	-1.8	-2.2	-2.7
497	-2.5	-1.3	-0.9	-2.0	0.1	-0.4		-1.9	-1.1	-2.8
498										
499	0.3	-2.3	-0.5	-1.0	2.8	-0.6	0.6	-1.2	-0.3	-0.3
500	-0.3	-2.2	0.6	-2.3	0.6	1.6	0.2	-1.9	-0.9	-2.5
501	0.9	-1.3	0.7	-1.5	2.3	3.9	0.8	-0.8	-0.6	-1.8
502	-1.5	-2.0	-0.1	-1.0	0.6	1.2	-0.6	-1.4	-2.5	-1.4
503	0.1	-2.2	0.8	-1.6	1.1	0.8	0.4	-0.8	-1.8	-2.3
504	0.0	-1.5	-0.4	-1.5	2.1	0.3	1.0	-1.7	-0.8	-3.2
505	-2.7	-1.9	-0.5	-1.5	-0.8	2.3	-0.7	-2.1	-2.2	-1.9
506	-2.2	-3.0	-0.7	-1.8		-0.6		-1.9	-2.4	-2.9
507	-1.6	-1.7	0.1	-1.8	0.5	1.9	-0.1	-1.7	-2.5	-2.0
508	-1.5	-1.6	-1.6	-1.1	0.6	-0.2	-0.3	-1.5	-1.7	-2.6
509	-1.0	-1.9	-0.6	-1.9	0.1	0.2	-1.1	-2.0	-2.6	-3.2
510	0.4	-2.5	1.3	-2.2	1.9	-0.3	-1.1	-1.4	-2.4	-2.3
511	-0.8	-1.8	1.2	-1.6	0.0	1.9	0.3	-1.8	-1.9	-1.8
512	-1.5	-2.2	0.3	-2.4	0.4	0.7	-2.0	-1.6	-3.1	-2.3
513	-1.4	-2.0	0.2	-2.8	-0.1	0.5	-1.6	-1.8	-2.7	-2.2
514	-1.7	-1.7	-0.1	-1.4	-0.3	2.2	-1.2	-2.0	-2.0	-2.5
515	-0.6	-1.8	-0.1	-2.3	0.0	-0.9	-1.2	-1.4	-1.9	-2.8
516	-0.3	-2.1	0.3	-2.6	0.6	-1.8	-1.1	-2.0	-2.8	-2.0
517	0.4	-1.0	0.4	-2.2	-0.3	1.1	-0.4	-1.6	-3.0	-2.0
518	-1.4	-1.8	0.0	-2.8	0.3	0.9	-0.9	-1.5	-2.8	-2.4
519	0.8	-3.1	-0.1	-1.3	1.9	-1.1	0.8	-1.7	-1.2	-3.4
520	-1.6	-2.1	0.3	-1.5		-0.1	-0.7	-1.8	-2.6	-2.4
521	-1.7	-2.1	-1.1	-2.7		-1.9	-1.0	-1.2	-2.9	-2.3
522	-1.9	-2.2	0.6	-3.0	0.0	1.1	-0.6	-0.6	-4.2	-2.7
523	-1.4	-2.7	0.8	-2.1	0.3	0.7	-1.7	-1.8	-3.4	-2.0
524	0.0	-2.8	1.0	-2.0	1.4	0.1	0.0	-1.3	-2.8	-1.9
525	-0.9	-2.6	0.0	-1.7	0.1	-2.0	-0.4	-2.1	-3.5	-3.4
526	-1.6	-1.9	0.4	-2.3	-0.7	0.0		-1.1	-2.4	-2.9
527	-0.9	-2.0	1.5	-1.6	1.3	0.5	-0.1	-1.7	-2.7	-2.7
528	-1.5	-1.8	-0.3	-1.8	-0.9	-0.6	-0.8	-1.6	-3.0	-2.5
529										
530										
531										
532										
533										
534										
535	1.1	-0.3	0.8	-1.4	2.1	1.3	0.9	-0.7	-0.4	0.0
536	-0.7	-0.8	-1.8	-1.5	-0.3	2.9	1.4	-1.6	-1.8	-1.1
537	4.7	-2.3	1.7	-3.6	12.1	-6.5	-0.9	4.7	3.4	-3.8
538	1.0	-0.2	1.1	-1.2	2.2	1.6	1.0	-0.2	-0.1	0.2
539	-1.3	-1.8	-1.9	-2.1	1.2	0.7	-0.5	-0.8	-2.2	-3.7
540	4.3	-2.3	0.9	-2.3	1.5	-1.1	-0.6	-0.3	-0.9	-3.8
541	1.5	-2.1	1.1	-2.3	2.7	-0.2	0.2	-0.3	-0.2	-2.2
542	1.0	0.1	-0.6	-0.6	0.9	2.5	1.6	-0.8	-1.1	-0.3
543										
544	-2.9	-3.0	-3.8	-3.8					-1.8	
545										
546	-3.6	-3.6	-2.6	-0.9				-1.1	-2.1	-3.4
547	-0.8	-1.6	-1.4	-1.3	0.5	1.5	0.0	-0.7	-1.8	-2.5
548	-0.7	-2.1	-0.4	-1.2	0.9	1.4	1.4	-1.6	-1.4	-1.4
549	-0.8	-2.3	-1.4	-1.3	0.6	0.8	-0.7	-2.1	-1.9	-2.3
550	-0.9	-2.2	-2.2	-0.9	1.1	0.6	0.7	-0.9	-1.0	-2.4
551	-0.7	-1.9	-1.0	-0.7	1.6	0.4	1.2	-0.8	-0.3	-2.5
552	-1.1	-1.6	0.2	-1.4	0.2	2.1	1.1	-1.0	-0.7	-2.3
553	-1.3	-1.6	-4.0	-1.6	0.2	0.6	-0.7	-2.2	-1.7	-3.8
554	-1.9	-1.6	-3.8	-1.6	-1.3	-2.3	-2.4	-0.2	-1.6	-3.1
555	-1.4	-1.6	-2.3	-0.9	-0.4	2.0	1.3	-1.7	-1.9	-2.2
556	0.1	-1.7	0.0	-1.8	1.1	0.1	0.5	-1.1	0.4	-2.4
557	-0.4	-0.8	-2.4	-1.5		-0.1	-0.1		-1.0	
558	-1.1	-2.3	-3.2	-1.7	0.2	1.4	2.1	-2.0	0.0	-0.9
559	-2.6	-1.0	-2.9	-1.4	0.5	1.1	1.5	-1.1	-0.7	-2.4
560	-1.1	-1.2	-2.1	-2.5	0.3			-1.2	-1.7	-2.9
561	-0.4	-1.6	-1.2	-2.1	0.2	0.5	1.3	-1.3	-0.7	-2.4
562	-1.0	-0.4	-3.3	-1.8	0.6	-0.2	-0.9	-1.5	-0.2	-3.2
563	-0.9	-1.1	-1.9	-1.8	-0.6	-1.7	-0.5	-0.5	-0.7	-2.3
564	-0.8	-2.2	-2.0	-2.3	2.4	-1.0	-0.1	-1.1	-0.2	-2.3
565	-1.1	-1.6	-3.5	-1.2	0.5	0.9	0.8	-1.7	-0.7	-2.5
566	-1.3	-1.5	-3.7	-1.5	1.3	0.6	0.4	-1.5	-2.1	-2.8
567	-0.8	-1.5	-2.1	-1.2	1.1	-0.3	0.4	-1.2	-1.4	-2.4
568	-1.8	-1.1	-3.8	-1.6		-0.2		-2.4	-2.0	-2.1
569	-1.3	-2.0	-2.0	-3.6	0.3	-0.9			-2.1	
570	-1.3	-1.4	-2.2	-1.4	-1.5	0.0	0.0	-1.4	-1.4	-2.8
571	-1.7	-1.1	-2.0		-0.2	1.0	2.2	-1.8	-2.1	-2.9
572	-0.9	-1.4	-2.9	-2.4	1.2	-1.2	0.4	-1.0	-1.3	-2.6
573	-1.6	-1.8	-1.6	-1.4		-0.2	0.6	-1.6	-1.5	-2.8
574	-1.2	-2.5	-1.9	-1.7	1.4	-0.2	0.3	-1.0	0.1	-3.0
575	0.8	-1.0	0.2	-1.3	3.8	1.5	0.4	0.0	1.1	-0.1
576	-1.1	-2.3	-2.7	-1.7	0.9	-0.4	0.9	-1.1	-0.2	-1.0
